wallet_address,transaction_count,total_volume_eth,average_transaction_size,stablecoin_volume_ratio,borrow_ratio,repay_ratio,supply_ratio,unique_tokens_transacted,credit_score
0x00000000001accfa9cef68cf5371a23025b6d4b6,1,2000.0,2000.0,1.0,0.0,0.0,1.0,1,405
0x000000000051d07a4fb3bd10121a343d85818da6,1,145.0,145.0,0.0,0.0,0.0,1.0,1,163
0x000000000096026fb41fc39f9875d164bd82e2dc,2,0.005,0.0025,0.0,0.0,0.0,1.0,1,6
0x0000000000e189dd664b9ab08a33c4839953852c,17,13.806244129857946,0.8121320076387027,0.9749352087959687,0.0,0.0,0.0,4,133
0x0000000002032370b971dabd36d72f3e5a7bf1ee,399,1743132.5310872593,4368.753210745011,0.946848061003654,0.03759398496240601,0.010025062656641603,0.6265664160401002,6,574
0x000000000a38444e0a6e37d3b630d7e855a7cb13,25,38587.175511044996,1543.4870204417998,0.7249884705863611,0.32,0.2,0.28,5,409
0x000000003853fcedcd0355fec98ca3192833f00b,8,0.06668999271258658,0.008336249089073322,0.3992884304499538,0.0,0.0,1.0,7,78
0x000000003ce0cf2c037493b1dc087204bd7f713e,492,971424.7063172874,1974.4404599944867,0.8234314058270388,0.06097560975609756,0.032520325203252036,0.6280487804878049,7,567
0x000000007858e6f2668e1e06111cfa24403a5466,1,0.09264749382774971,0.09264749382774971,0.0,0.0,0.0,1.0,1,5
0x00000001a0f57e850c9db68b4a9bc34677437c5c,1,1.797442,1.797442,1.0,0.0,0.0,1.0,1,109
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,69,2799429.952335719,40571.448584575635,1.0,0.34782608695652173,0.13043478260869565,0.37681159420289856,1,439
0x00000029ff545c86524ade7caf132527707948c4,47,11699193.106704876,248919.0022703165,0.9999208638908031,0.2553191489361702,0.2553191489361702,0.2553191489361702,4,443
0x00000087c4cebffb95746d1935de7fbcab092f40,250,6707003.403435288,26828.013613741154,0.9999998492966915,0.248,0.18,0.344,8,564
0x000000e28faa823d5b53ff6c2922c28335840375,297,10606840.854865942,35713.2688716025,0.8660805673768638,0.2222222222222222,0.21212121212121213,0.3602693602693603,7,570
0x000006eee6e39015cb523aebdd4d0b1855aba682,28,271184.4956575131,9685.160559196896,0.9964493572095907,0.14285714285714285,0.03571428571428571,0.39285714285714285,7,448
0x00000a9c78912badb92d73b6ed26456e11def5eb,1,1.690049,1.690049,1.0,0.0,0.0,1.0,1,109
0x00001bc47f0973f794f79c16121cee879e272d6a,4,53394.118307,13348.52957675,1.0,0.0,0.0,0.0,2,412
0x00002b503a75998c97508916a74fdb41934fa030,147,4466226.25887431,30382.491556968096,0.9633474232032637,0.3197278911564626,0.30612244897959184,0.1836734693877551,7,504
0x0000897253cc85f7547317eb2080b36b3255687a,2,0.28943712139977434,0.14471856069988717,0.0,0.0,0.0,0.5,1,6
0x0000b252c943089fbba5554a1d196ef79bc77e4f,1,1.109908,1.109908,1.0,0.0,0.0,1.0,1,108
0x0000ce08fa224696a819877070bf378e8b131acf,14,13373.711121478911,955.2650801056365,0.8938519527476793,0.07142857142857142,0.0,0.21428571428571427,4,416
0x00010a708585ba4812a1c5976182626c75cb7a6b,29,2133.8966931740815,73.5826445922097,0.9164040786167018,0.20689655172413793,0.2413793103448276,0.3103448275862069,6,436
0x00016fc0c9f7620e920e1423fd455f9574f48025,2,0.012652993450826145,0.0063264967254130725,0.0,0.0,0.0,1.0,1,6
0x0002761e848b24046a53d494847b11a3e1d36b09,1,1.0080314238445638,1.0080314238445638,1.0,0.0,0.0,1.0,1,107
0x00027e45436f11ec8549b7d5e0b86748ee61c13d,2,1.0104389999999999,0.5052194999999999,1.0,0.0,0.0,1.0,1,107
